ROS2_Clock,Topic_Name,Data_Keys,Value_0
7739277417,/electrical/power,power_W,0.0235
7740601292,/electrical/voltage,voltage_V,26.0575
7741192042,/electrical/current,current_A,-0.9150
7741853375,/electrical/power,power_W,0.0240
7743038417,/electrical/voltage,voltage_V,26.0613
7743604917,/electrical/current,current_A,-0.9098
7744157417,/electrical/power,power_W,0.0235
7745597292,/electrical/voltage,voltage_V,26.0613
7746173542,/electrical/current,current_A,-0.9120
7746841708,/electrical/power,power_W,0.0236
7748076292,/electrical/voltage,voltage_V,26.0388
7748689708,/electrical/current,current_A,-0.9248
7749285708,/electrical/power,power_W,0.0236
7750622750,/electrical/voltage,voltage_V,26.0613
7751216458,/electrical/current,current_A,-0.8985
7751871083,/electrical/power,power_W,0.0241
7753077500,/electrical/voltage,voltage_V,26.0613
7753668292,/electrical/current,current_A,-0.9125
7754264917,/electrical/power,power_W,0.0235
7755557333,/electrical/voltage,voltage_V,26.0550
7756130958,/electrical/current,current_A,-0.8982
7756757083,/electrical/power,power_W,0.0238
7758088083,/electrical/voltage,voltage_V,26.0300
7758684083,/electrical/current,current_A,-0.8950
7759276333,/electrical/power,power_W,0.0232
7760574750,/electrical/voltage,voltage_V,26.0763
7761160250,/electrical/current,current_A,-0.9038
7761754500,/electrical/power,power_W,0.0239
7763083625,/electrical/voltage,voltage_V,26.0113
7763701750,/electrical/current,current_A,-0.8960
7764314958,/electrical/power,power_W,0.0234
7765601083,/electrical/voltage,voltage_V,26.0450
7766190250,/electrical/current,current_A,-0.9238
7766850250,/electrical/power,power_W,0.0235
7768086792,/electrical/voltage,voltage_V,26.0425
7768675833,/electrical/current,current_A,-0.9012
7769239292,/electrical/power,power_W,0.0238
7770589000,/electrical/voltage,voltage_V,26.0512
7771177083,/electrical/current,current_A,-0.9002
7771741000,/electrical/power,power_W,0.0235
7773078458,/electrical/voltage,voltage_V,26.0300
7773647125,/electrical/current,current_A,-0.9148
7774281208,/electrical/power,power_W,0.0238
7775651333,/electrical/voltage,voltage_V,26.0550
7776229708,/electrical/current,current_A,-0.9022
7776832958,/electrical/power,power_W,0.0238
7778050583,/electrical/voltage,voltage_V,26.0237
7778636750,/electrical/current,current_A,-0.9032
7779200792,/electrical/power,power_W,0.0235
7780564625,/electrical/voltage,voltage_V,26.0325
7781114458,/electrical/current,current_A,-0.9012
7781697167,/electrical/power,power_W,0.0234
7783132125,/electrical/voltage,voltage_V,26.0388
7783694708,/electrical/current,current_A,-0.9243
7784254208,/electrical/power,power_W,0.0237
7785627375,/electrical/voltage,voltage_V,26.0388
7786201833,/electrical/current,current_A,-0.8998
7786853958,/electrical/power,power_W,0.0239
7788064167,/electrical/voltage,voltage_V,26.0725
7788647542,/electrical/current,current_A,-0.9183
7789214042,/electrical/power,power_W,0.0235
7790568708,/electrical/voltage,voltage_V,26.0575
7791130292,/electrical/current,current_A,-0.9080
