ROS2_Clock,Topic_Name,Data_Keys,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8
1776371408893244117,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136584,-0.059764,9.314638,0.001564,-0.000418,-0.002554,-0.001890,0.161884,-0.004851
1776371408896137525,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.131833,-0.066884,9.317015,0.000489,0.002283,-0.002567,-0.001935,0.161904,-0.004862
1776371408899179482,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.131883,-0.071652,9.314636,0.000490,0.002334,0.000117,-0.001936,0.161860,-0.004862
1776371408901248767,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.139009,-0.066922,9.307496,-0.001112,0.001778,0.000657,-0.001951,0.161907,-0.004863
1776371408903507402,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143760,-0.066941,9.305122,-0.001109,0.000691,0.000662,-0.001969,0.161864,-0.004865
1776371408905556206,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.148511,-0.059821,9.295588,-0.000037,0.000193,0.002277,-0.001958,0.161910,-0.004860
1776371408909113955,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.148511,-0.059821,9.297975,0.001567,-0.002028,-0.001475,-0.002002,0.161925,-0.004870
1776371408909705175,/encoders,"encoder_left,encoder_right",0,347
1776371408910599445,/motor_speed,speed_setting,11
1776371408911140263,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143660,-0.057404,9.297950,-0.001113,0.001702,-0.003096,-0.001956,0.161917,-0.004866
1776371408913210987,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.143660,-0.055025,9.305106,-0.001111,0.002858,0.000662,-0.002004,0.161936,-0.004872
1776371408915140715,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.138909,-0.052626,9.309864,0.002103,0.000206,0.001749,-0.001956,0.161917,-0.004863
1776371408919115311,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.136534,-0.047857,9.312243,-0.001106,-0.000996,-0.002007,-0.002006,0.161922,-0.004873
1776371408921107281,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.134208,-0.043098,9.312240,0.003169,-0.000360,-0.000402,-0.001954,0.161915,-0.004866
1776371408923138580,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.129457,-0.043079,9.312227,0.002099,-0.001491,-0.002008,-0.001919,0.161878,-0.004864
1776371408927181594,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.129457,-0.050217,9.309844,-0.002179,0.001235,0.001742,-0.001929,0.161877,-0.004864
1776371408929045880,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.138884,-0.052622,9.309861,0.004247,-0.002994,0.003381,-0.001947,0.161914,-0.004864
1776371408931371429,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.138884,-0.055001,9.314633,0.001038,-0.001920,0.004987,-0.001931,0.161867,-0.004856
1776371408935122722,/zed/zed_node/imu/data,"accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z",-3.141260,-0.050252,9.312252,-0.002177,-0.000406,0.001215,-0.001949,0.161911,-0.004857
